"Notes"	"County"	"County Code"	Avg Daily Sunlight (KJ/m²)	# of Observations for Daily Sunlight
	"Owyhee County, ID"	"16073"	16650.94	1639208
	"Payette County, ID"	"16075"	16287.78	84371
	"Power County, ID"	"16077"	16449.15	325431
	"Shoshone County, ID"	"16079"	14287.58	711127
	"Teton County, ID"	"16081"	16458.71	108477
	"Twin Falls County, ID"	"16083"	16606.40	397749
	"Valley County, ID"	"16085"	16069.70	795498
	"Washington County, ID"	"16087"	16153.04	373643
	"Adams County, IL"	"17001"	15108.11	229007
	"Alexander County, IL"	"17003"	15752.16	72318
	"Bond County, IL"	"17005"	15340.01	72318
	"Boone County, IL"	"17007"	14434.73	72318
	"Brown County, IL"	"17009"	15063.01	60265
	"Bureau County, IL"	"17011"	14640.40	216954
	"Calhoun County, IL"	"17013"	15439.43	48212
	"Carroll County, IL"	"17015"	14514.95	120530
	"Cass County, IL"	"17017"	15020.99	84371
	"Champaign County, IL"	"17019"	14945.13	204901
	"Christian County, IL"	"17021"	15112.20	132583
	"Clark County, IL"	"17023"	15015.56	120530
	"Clay County, IL"	"17025"	15243.45	96424
	"Clinton County, IL"	"17027"	15410.39	120530
	"Coles County, IL"	"17029"	15027.50	96424
	"Cook County, IL"	"17031"	14763.45	180795
	"Crawford County, IL"	"17033"	15101.42	84371
	"Cumberland County, IL"	"17035"	15074.63	96424
	"DeKalb County, IL"	"17037"	14527.05	144636
	"De Witt County, IL"	"17039"	14931.58	84371
	"Douglas County, IL"	"17041"	15005.21	96424
	"DuPage County, IL"	"17043"	14439.07	72318
	"Edgar County, IL"	"17045"	14981.50	144636
	"Edwards County, IL"	"17047"	15313.41	36159
	"Effingham County, IL"	"17049"	15164.49	96424
	"Fayette County, IL"	"17051"	15214.38	156689
	"Ford County, IL"	"17053"	14796.95	120530
	"Franklin County, IL"	"17055"	15528.74	72318
	"Fulton County, IL"	"17057"	14888.82	192848
	"Gallatin County, IL"	"17059"	15525.59	48212
	"Greene County, IL"	"17061"	15313.51	120530
	"Grundy County, IL"	"17063"	14659.77	108477
	"Hamilton County, IL"	"17065"	15464.12	108477
	"Hancock County, IL"	"17067"	14950.02	156689
	"Hardin County, IL"	"17069"	15632.91	24106
	"Henderson County, IL"	"17071"	14838.40	120530
	"Henry County, IL"	"17073"	14673.38	192848
	"Iroquois County, IL"	"17075"	14783.19	241060
	"Jackson County, IL"	"17077"	15546.36	144636
	"Jasper County, IL"	"17079"	15113.86	72318
	"Jefferson County, IL"	"17081"	15428.64	108477
	"Jersey County, IL"	"17083"	15399.87	84371
	"Jo Daviess County, IL"	"17085"	14465.30	120530
	"Johnson County, IL"	"17087"	15629.28	60265
	"Kane County, IL"	"17089"	14446.31	108477
	"Kankakee County, IL"	"17091"	14721.38	144636
	"Kendall County, IL"	"17093"	14558.02	72318
	"Knox County, IL"	"17095"	14787.54	144636
	"Lake County, IL"	"17097"	14919.27	132583
	"LaSalle County, IL"	"17099"	14659.25	216954
	"Lawrence County, IL"	"17101"	15168.24	72318
	"Lee County, IL"	"17103"	14583.60	120530
	"Livingston County, IL"	"17105"	14801.53	216954
	"Logan County, IL"	"17107"	14912.37	168742
	"McDonough County, IL"	"17109"	14932.12	108477
	"McHenry County, IL"	"17111"	14462.83	144636
	"McLean County, IL"	"17113"	14875.11	253113
	"Macon County, IL"	"17115"	14989.01	96424
	"Macoupin County, IL"	"17117"	15273.19	144636
	"Madison County, IL"	"17119"	15421.27	168742
	"Marion County, IL"	"17121"	15322.39	108477
	"Marshall County, IL"	"17123"	14740.55	108477
	"Mason County, IL"	"17125"	14886.93	132583
	"Massac County, IL"	"17127"	15685.88	60265
	"Menard County, IL"	"17129"	15015.32	60265
	"Mercer County, IL"	"17131"	14721.40	120530
	"Monroe County, IL"	"17133"	15561.23	84371
	"Montgomery County, IL"	"17135"	15227.34	180795
	"Morgan County, IL"	"17137"	15138.62	132583
	"Moultrie County, IL"	"17139"	15046.86	60265
	"Ogle County, IL"	"17141"	14525.31	204901
	"Peoria County, IL"	"17143"	14781.31	144636
	"Perry County, IL"	"17145"	15505.05	96424
	"Piatt County, IL"	"17147"	14985.39	84371
	"Pike County, IL"	"17149"	15204.99	180795
	"Pope County, IL"	"17151"	15594.64	84371
	"Pulaski County, IL"	"17153"	15709.94	48212
	"Putnam County, IL"	"17155"	14653.05	48212
	"Randolph County, IL"	"17157"	15520.81	120530
	"Richland County, IL"	"17159"	15176.43	72318
	"Rock Island County, IL"	"17161"	14617.98	84371
	"St. Clair County, IL"	"17163"	15519.03	108477
	"Saline County, IL"	"17165"	15555.03	72318
	"Sangamon County, IL"	"17167"	15084.15	192848
	"Schuyler County, IL"	"17169"	14999.16	84371
	"Scott County, IL"	"17171"	15211.24	60265
	"Shelby County, IL"	"17173"	15073.96	132583
	"Stark County, IL"	"17175"	14790.59	60265
	"Stephenson County, IL"	"17177"	14446.01	96424
	"Tazewell County, IL"	"17179"	14824.65	120530
	"Union County, IL"	"17181"	15585.48	96424
	"Vermilion County, IL"	"17183"	14881.00	229007
	"Wabash County, IL"	"17185"	15268.65	72318
	"Warren County, IL"	"17187"	14841.11	96424
	"Washington County, IL"	"17189"	15442.90	108477
	"Wayne County, IL"	"17191"	15348.90	180795
	"White County, IL"	"17193"	15477.14	108477
	"Whiteside County, IL"	"17195"	14572.72	120530
	"Will County, IL"	"17197"	14608.13	216954
	"Williamson County, IL"	"17199"	15574.41	72318
	"Winnebago County, IL"	"17201"	14463.86	84371
	"Woodford County, IL"	"17203"	14822.86	96424
	"Adams County, IN"	"18001"	14630.84	72318
	"Allen County, IN"	"18003"	14540.99	180795
	"Bartholomew County, IN"	"18005"	15055.18	96424
	"Benton County, IN"	"18007"	14809.22	72318
	"Blackford County, IN"	"18009"	14721.17	48212
	"Boone County, IN"	"18011"	14734.95	132583
	"Brown County, IN"	"18013"	15081.49	72318
	"Carroll County, IN"	"18015"	14717.54	84371
	"Cass County, IN"	"18017"	14684.28	72318
	"Clark County, IN"	"18019"	15108.38	96424
	"Clay County, IN"	"18021"	14963.26	72318
	"Clinton County, IN"	"18023"	14716.68	84371
	"Crawford County, IN"	"18025"	15195.37	60265
	"Daviess County, IN"	"18027"	15114.71	108477
	"Dearborn County, IN"	"18029"	15035.88	60265
	"Decatur County, IN"	"18031"	14948.63	108477
	"De Kalb County, IN"	"18033"	14521.04	96424
	"Delaware County, IN"	"18035"	14742.46	72318
	"Dubois County, IN"	"18037"	15163.28	72318
	"Elkhart County, IN"	"18039"	14445.85	96424
	"Fayette County, IN"	"18041"	14854.86	48212
	"Floyd County, IN"	"18043"	15086.26	36159
	"Fountain County, IN"	"18045"	14845.29	72318
	"Franklin County, IN"	"18047"	14963.64	96424
	"Fulton County, IN"	"18049"	14596.86	84371
	"Gibson County, IN"	"18051"	15286.81	84371
	"Grant County, IN"	"18053"	14686.06	72318
	"Greene County, IN"	"18055"	15036.17	96424
	"Hamilton County, IN"	"18057"	14699.17	108477
	"Hancock County, IN"	"18059"	14726.09	60265
	"Harrison County, IN"	"18061"	15189.98	96424
	"Hendricks County, IN"	"18063"	14821.04	72318
	"Henry County, IN"	"18065"	14767.45	108477
	"Howard County, IN"	"18067"	14712.15	96424
	"Huntington County, IN"	"18069"	14642.78	72318
	"Jackson County, IN"	"18071"	15097.61	108477
	"Jasper County, IN"	"18073"	14694.86	120530
	"Jay County, IN"	"18075"	14692.86	96424
	"Jefferson County, IN"	"18077"	15108.88	60265
	"Jennings County, IN"	"18079"	15072.90	48212
	"Johnson County, IN"	"18081"	14910.86	48212
	"Knox County, IN"	"18083"	15169.02	96424
	"Kosciusko County, IN"	"18085"	14535.39	180795
	"Lagrange County, IN"	"18087"	14486.93	72318
	"Lake County, IN"	"18089"	14600.65	84371
	"La Porte County, IN"	"18091"	14513.09	144636
	"Lawrence County, IN"	"18093"	15064.81	132583
	"Madison County, IN"	"18095"	14697.15	72318
	"Marion County, IN"	"18097"	14759.63	72318
	"Marshall County, IN"	"18099"	14506.10	108477
	"Martin County, IN"	"18101"	15107.96	36159
	"Miami County, IN"	"18103"	14644.75	36159
	"Monroe County, IN"	"18105"	15044.39	108477
	"Montgomery County, IN"	"18107"	14780.76	108477
	"Morgan County, IN"	"18109"	14939.17	72318
	"Newton County, IN"	"18111"	14720.14	84371
	"Noble County, IN"	"18113"	14525.92	72318
	"Ohio County, IN"	"18115"	15074.35	24106
	"Orange County, IN"	"18117"	15142.51	84371
	"Owen County, IN"	"18119"	14963.08	108477
	"Parke County, IN"	"18121"	14881.27	96424
	"Perry County, IN"	"18123"	15265.99	72318
	"Pike County, IN"	"18125"	15196.34	60265
	"Porter County, IN"	"18127"	14607.99	84371
	"Posey County, IN"	"18129"	15472.30	96424
	"Pulaski County, IN"	"18131"	14631.90	72318
	"Putnam County, IN"	"18133"	14877.04	84371
	"Randolph County, IN"	"18135"	14745.79	144636
	"Ripley County, IN"	"18137"	15100.05	108477
	"Rush County, IN"	"18139"	14859.29	72318
	"St. Joseph County, IN"	"18141"	14437.01	72318
	"Scott County, IN"	"18143"	15112.87	24106
	"Shelby County, IN"	"18145"	14864.32	108477
	"Spencer County, IN"	"18147"	15316.27	96424
	"Starke County, IN"	"18149"	14520.40	72318
	"Steuben County, IN"	"18151"	14455.53	96424
	"Sullivan County, IN"	"18153"	15040.17	96424
	"Switzerland County, IN"	"18155"	15070.12	36159
	"Tippecanoe County, IN"	"18157"	14709.09	108477
	"Tipton County, IN"	"18159"	14733.46	36159
	"Union County, IN"	"18161"	14877.52	48212
	"Vanderburgh County, IN"	"18163"	15401.53	36159
	"Vermillion County, IN"	"18165"	14915.49	48212
	"Vigo County, IN"	"18167"	14976.60	84371
	"Wabash County, IN"	"18169"	14669.78	108477
	"Warren County, IN"	"18171"	14789.51	60265
	"Warrick County, IN"	"18173"	15326.15	108477
	"Washington County, IN"	"18175"	15127.34	120530
	"Wayne County, IN"	"18177"	14787.01	96424
	"Wells County, IN"	"18179"	14649.64	48212
	"White County, IN"	"18181"	14701.70	84371
	"Whitley County, IN"	"18183"	14553.79	48212
	"Adair County, IA"	"19001"	14874.78	144636
	"Adams County, IA"	"19003"	14984.35	72318
	"Allamakee County, IA"	"19005"	14299.26	132583
	"Appanoose County, IA"	"19007"	14894.91	96424
	"Audubon County, IA"	"19009"	14754.30	96424
	"Benton County, IA"	"19011"	14566.99	108477
	"Black Hawk County, IA"	"19013"	14475.34	108477
	"Boone County, IA"	"19015"	14760.57	108477
	"Bremer County, IA"	"19017"	14435.12	72318
	"Buchanan County, IA"	"19019"	14503.28	144636
	"Buena Vista County, IA"	"19021"	14641.37	144636
	"Butler County, IA"	"19023"	14440.19	144636
	"Calhoun County, IA"	"19025"	14686.05	96424
	"Carroll County, IA"	"19027"	14682.93	144636
	"Cass County, IA"	"19029"	14959.14	108477
	"Cedar County, IA"	"19031"	14609.55	144636
	"Cerro Gordo County, IA"	"19033"	14518.29	144636
	"Cherokee County, IA"	"19035"	14675.76	96424
	"Chickasaw County, IA"	"19037"	14406.84	108477
	"Clarke County, IA"	"19039"	14882.48	72318
	"Clay County, IA"	"19041"	14573.26	144636
	"Clayton County, IA"	"19043"	14413.50	204901
	"Clinton County, IA"	"19045"	14565.47	132583
	"Crawford County, IA"	"19047"	14741.82	144636
	"Dallas County, IA"	"19049"	14777.37	120530
	"Davis County, IA"	"19051"	14915.21	84371
	"Decatur County, IA"	"19053"	14981.37	72318
	"Delaware County, IA"	"19055"	14473.60	144636
	"Des Moines County, IA"	"19057"	14838.86	96424
	"Dickinson County, IA"	"19059"	14521.23	96424
	"Dubuque County, IA"	"19061"	14468.01	144636
	"Emmet County, IA"	"19063"	14493.07	72318
	"Fayette County, IA"	"19065"	14405.29	192848
	"Floyd County, IA"	"19067"	14435.30	144636
	"Franklin County, IA"	"19069"	14563.38	144636
	"Fremont County, IA"	"19071"	15270.70	96424
	"Greene County, IA"	"19073"	14706.57	144636
	"Grundy County, IA"	"19075"	14537.10	96424
	"Guthrie County, IA"	"19077"	14731.67	144636
	"Hamilton County, IA"	"19079"	14636.18	84371
	"Hancock County, IA"	"19081"	14535.39	144636
	"Hardin County, IA"	"19083"	14631.00	96424
	"Harrison County, IA"	"19085"	14925.52	180795
	"Henry County, IA"	"19087"	14846.74	108477
	"Howard County, IA"	"19089"	14358.16	72318
	"Humboldt County, IA"	"19091"	14594.92	96424
	"Ida County, IA"	"19093"	14707.31	84371
	"Iowa County, IA"	"19095"	14654.41	108477
	"Jackson County, IA"	"19097"	14503.88	156689
	"Jasper County, IA"	"19099"	14787.67	180795
	"Jefferson County, IA"	"19101"	14802.51	72318
	"Johnson County, IA"	"19103"	14642.00	156689
	"Jones County, IA"	"19105"	14519.65	96424
	"Keokuk County, IA"	"19107"	14742.08	108477
	"Kossuth County, IA"	"19109"	14565.03	241060
	"Lee County, IA"	"19111"	14956.21	108477
	"Linn County, IA"	"19113"	14523.54	144636
	"Louisa County, IA"	"19115"	14750.32	72318
	"Lucas County, IA"	"19117"	14867.25	96424
	"Lyon County, IA"	"19119"	14591.23	132583
	"Madison County, IA"	"19121"	14823.89	144636
	"Mahaska County, IA"	"19123"	14758.55	144636
	"Marion County, IA"	"19125"	14841.65	144636
	"Marshall County, IA"	"19127"	14685.21	144636
	"Mills County, IA"	"19129"	15180.70	96424
	"Mitchell County, IA"	"19131"	14410.80	96424
	"Monona County, IA"	"19133"	14885.25	180795
	"Monroe County, IA"	"19135"	14857.47	96424
	"Montgomery County, IA"	"19137"	15113.57	96424
	"Muscatine County, IA"	"19139"	14629.43	108477
	"O'Brien County, IA"	"19141"	14578.98	144636
	"Osceola County, IA"	"19143"	14478.41	96424
	"Page County, IA"	"19145"	15171.97	96424
	"Palo Alto County, IA"	"19147"	14552.08	108477
	"Plymouth County, IA"	"19149"	14749.18	144636
	"Pocahontas County, IA"	"19151"	14605.26	108477
	"Polk County, IA"	"19153"	14753.33	132583
	"Pottawattamie County, IA"	"19155"	15041.76	216954
	"Poweshiek County, IA"	"19157"	14742.43	144636
	"Ringgold County, IA"	"19159"	15057.79	96424
	"Sac County, IA"	"19161"	14662.08	96424
	"Scott County, IA"	"19163"	14619.15	84371
	"Shelby County, IA"	"19165"	14876.90	120530
	"Sioux County, IA"	"19167"	14636.49	180795
	"Story County, IA"	"19169"	14733.91	144636
	"Tama County, IA"	"19171"	14637.06	144636
	"Taylor County, IA"	"19173"	15084.05	72318
	"Union County, IA"	"19175"	14956.75	96424
	"Van Buren County, IA"	"19177"	14945.52	84371
	"Wapello County, IA"	"19179"	14833.91	96424
	"Warren County, IA"	"19181"	14822.65	108477
	"Washington County, IA"	"19183"	14736.50	144636
	"Wayne County, IA"	"19185"	14931.78	96424
	"Webster County, IA"	"19187"	14655.21	132583
	"Winnebago County, IA"	"19189"	14500.04	96424
	"Winneshiek County, IA"	"19191"	14321.75	144636
	"Woodbury County, IA"	"19193"	14835.68	216954
	"Worth County, IA"	"19195"	14485.74	96424
	"Wright County, IA"	"19197"	14589.11	144636
	"Allen County, KS"	"20001"	16021.51	72318
	"Anderson County, KS"	"20003"	15873.90	120530
	"Atchison County, KS"	"20005"	15504.88	96424
	"Barber County, KS"	"20007"	17174.74	229007
	"Barton County, KS"	"20009"	16733.72	192848
	"Bourbon County, KS"	"20011"	15930.53	144636
	"Brown County, KS"	"20013"	15499.79	108477
	"Butler County, KS"	"20015"	16442.47	301325
	"Chase County, KS"	"20017"	16228.33	144636
	"Chautauqua County, KS"	"20019"	16505.21	96424
	"Cherokee County, KS"	"20021"	16094.48	144636
	"Cheyenne County, KS"	"20023"	16891.92	180795
	"Clark County, KS"	"20025"	17457.30	241060
	"Clay County, KS"	"20027"	16043.82	144636
	"Cloud County, KS"	"20029"	16167.90	144636
	"Coffey County, KS"	"20031"	16004.73	144636
	"Comanche County, KS"	"20033"	17343.33	144636
	"Cowley County, KS"	"20035"	16586.48	241060
	"Crawford County, KS"	"20037"	16029.21	96424
	"Decatur County, KS"	"20039"	16673.28	204901
	"Dickinson County, KS"	"20041"	16192.97	180795
	"Doniphan County, KS"	"20043"	15408.59	96424
	"Douglas County, KS"	"20045"	15679.83	108477
	"Edwards County, KS"	"20047"	17077.08	132583
	"Elk County, KS"	"20049"	16418.60	144636
	"Ellis County, KS"	"20051"	16707.93	180795
	"Ellsworth County, KS"	"20053"	16585.66	180795
	"Finney County, KS"	"20055"	17369.58	265166
	"Ford County, KS"	"20057"	17315.73	216954
	"Franklin County, KS"	"20059"	15750.43	144636
	"Geary County, KS"	"20061"	15997.62	96424
	"Gove County, KS"	"20063"	16968.13	192848
	"Graham County, KS"	"20065"	16716.72	144636
	"Grant County, KS"	"20067"	17736.01	108477
	"Gray County, KS"	"20069"	17428.63	144636
	"Greeley County, KS"	"20071"	17480.89	168742
	"Greenwood County, KS"	"20073"	16279.09	192848
	"Hamilton County, KS"	"20075"	17704.04	192848
	"Harper County, KS"	"20077"	16976.88	180795
	"Harvey County, KS"	"20079"	16532.89	120530
	"Haskell County, KS"	"20081"	17584.88	144636
	"Hodgeman County, KS"	"20083"	17160.50	180795
	"Jackson County, KS"	"20085"	15576.98	96424
	"Jefferson County, KS"	"20087"	15573.74	132583
	"Jewell County, KS"	"20089"	16130.90	241060
	"Johnson County, KS"	"20091"	15609.79	72318
	"Kearny County, KS"	"20093"	17594.01	144636
	"Kingman County, KS"	"20095"	16854.27	216954
	"Kiowa County, KS"	"20097"	17206.10	144636
	"Labette County, KS"	"20099"	16236.33	108477
	"Lane County, KS"	"20101"	17124.49	144636
	"Leavenworth County, KS"	"20103"	15488.52	72318
	"Lincoln County, KS"	"20105"	16448.80	180795
	"Linn County, KS"	"20107"	15826.60	132583
	"Logan County, KS"	"20109"	17097.64	204901
	"Lyon County, KS"	"20111"	16049.91	180795
	"McPherson County, KS"	"20113"	16502.74	192848
	"Marion County, KS"	"20115"	16362.46	192848
	"Marshall County, KS"	"20117"	15694.97	192848
	"Meade County, KS"	"20119"	17575.33	192848
	"Miami County, KS"	"20121"	15699.52	108477
	"Mitchell County, KS"	"20123"	16327.18	120530
	"Montgomery County, KS"	"20125"	16348.61	144636
	"Morris County, KS"	"20127"	16082.03	144636
	"Morton County, KS"	"20129"	17992.60	144636
	"Nemaha County, KS"	"20131"	15566.21	192848
	"Neosho County, KS"	"20133"	16112.96	108477
	"Ness County, KS"	"20135"	17014.67	241060
	"Norton County, KS"	"20137"	16523.32	192848
	"Osage County, KS"	"20139"	15831.63	192848
	"Osborne County, KS"	"20141"	16410.75	144636
	"Ottawa County, KS"	"20143"	16279.23	96424
	"Pawnee County, KS"	"20145"	16966.06	180795
	"Phillips County, KS"	"20147"	16397.71	204901
	"Pottawatomie County, KS"	"20149"	15704.93	168742
	"Pratt County, KS"	"20151"	17008.54	144636
	"Rawlins County, KS"	"20153"	16795.33	180795
	"Reno County, KS"	"20155"	16719.92	216954
	"Republic County, KS"	"20157"	15985.80	144636
	"Rice County, KS"	"20159"	16668.32	180795
	"Riley County, KS"	"20161"	15864.15	120530
	"Rooks County, KS"	"20163"	16594.89	180795
	"Rush County, KS"	"20165"	16850.85	180795
	"Russell County, KS"	"20167"	16581.15	144636
	"Saline County, KS"	"20169"	16374.30	144636
	"Scott County, KS"	"20171"	17204.34	192848
	"Sedgwick County, KS"	"20173"	16601.58	180795
	"Seward County, KS"	"20175"	17752.76	144636
	"Shawnee County, KS"	"20177"	15660.42	120530
	"Sheridan County, KS"	"20179"	16825.43	216954
	"Sherman County, KS"	"20181"	17066.38	241060
	"Smith County, KS"	"20183"	16225.63	229007
	"Stafford County, KS"	"20185"	16875.73	120530
	"Stanton County, KS"	"20187"	17871.59	144636
	"Stevens County, KS"	"20189"	17865.52	108477
	"Sumner County, KS"	"20191"	16777.96	241060
	"Thomas County, KS"	"20193"	16968.05	241060
	"Trego County, KS"	"20195"	16841.35	144636
	"Wabaunsee County, KS"	"20197"	15820.40	132583
	"Wallace County, KS"	"20199"	17227.13	144636
	"Washington County, KS"	"20201"	15852.90	192848
	"Wichita County, KS"	"20203"	17357.89	168742
	"Wilson County, KS"	"20205"	16234.34	144636
	"Woodson County, KS"	"20207"	16127.58	96424
	"Wyandotte County, KS"	"20209"	15482.92	36159
	"Adair County, KY"	"21001"	15288.15	84371
	"Allen County, KY"	"21003"	15556.77	60265
	"Anderson County, KY"	"21005"	15092.84	36159
	"Ballard County, KY"	"21007"	15736.02	36159
	"Barren County, KY"	"21009"	15439.47	96424
	"Bath County, KY"	"21011"	14991.61	72318
	"Bell County, KY"	"21013"	15108.58	72318
	"Boone County, KY"	"21015"	15025.70	60265
	"Bourbon County, KY"	"21017"	15005.22	48212
	"Boyd County, KY"	"21019"	14938.45	24106
	"Boyle County, KY"	"21021"	15139.59	36159
	"Bracken County, KY"	"21023"	15000.16	36159
	"Breathitt County, KY"	"21025"	14933.86	96424
	"Breckinridge County, KY"	"21027"	15282.53	96424
	"Bullitt County, KY"	"21029"	15178.03	60265
	"Butler County, KY"	"21031"	15469.40	108477
	"Caldwell County, KY"	"21033"	15568.89	60265
	"Calloway County, KY"	"21035"	15860.73	84371
	"Campbell County, KY"	"21037"	14951.32	36159
	"Carlisle County, KY"	"21039"	15782.64	48212
	"Carroll County, KY"	"21041"	15079.62	24106
	"Carter County, KY"	"21043"	15021.63	96424
	"Casey County, KY"	"21045"	15159.95	60265
	"Christian County, KY"	"21047"	15535.89	132583
	"Clark County, KY"	"21049"	14952.43	60265
	"Clay County, KY"	"21051"	15053.20	108477
	"Clinton County, KY"	"21053"	15292.65	48212
	"Crittenden County, KY"	"21055"	15563.52	84371
	"Cumberland County, KY"	"21057"	15394.54	72318
	"Daviess County, KY"	"21059"	15437.78	96424
	"Edmonson County, KY"	"21061"	15405.33	72318
	"Elliott County, KY"	"21063"	15003.58	48212
	"Estill County, KY"	"21065"	15039.19	48212
	"Fayette County, KY"	"21067"	15017.79	60265
	"Fleming County, KY"	"21069"	14950.98	72318
	"Floyd County, KY"	"21071"	14839.76	96424
	"Franklin County, KY"	"21073"	15084.60	48212
	"Fulton County, KY"	"21075"	15896.74	48212
	"Gallatin County, KY"	"21077"	15042.51	24106
	"Garrard County, KY"	"21079"	15084.22	60265
	"Grant County, KY"	"21081"	15051.84	48212
	"Graves County, KY"	"21083"	15777.13	144636
	"Grayson County, KY"	"21085"	15334.56	108477
	"Green County, KY"	"21087"	15286.32	60265
	"Greenup County, KY"	"21089"	14953.09	72318
	"Hancock County, KY"	"21091"	15312.37	48212
	"Hardin County, KY"	"21093"	15227.63	120530
	"Harlan County, KY"	"21095"	15120.19	96424
	"Harrison County, KY"	"21097"	15032.93	72318
	"Hart County, KY"	"21099"	15358.71	72318
	"Henderson County, KY"	"21101"	15462.87	96424
	"Henry County, KY"	"21103"	15076.26	72318
	"Hickman County, KY"	"21105"	15820.11	24106
	"Hopkins County, KY"	"21107"	15520.59	108477
	"Jackson County, KY"	"21109"	15070.97	72318
	"Jefferson County, KY"	"21111"	15135.82	72318
	"Jessamine County, KY"	"21113"	15053.26	36159
	"Johnson County, KY"	"21115"	14907.24	60265
	"Kenton County, KY"	"21117"	14992.77	48212
	"Knott County, KY"	"21119"	14906.34	60265
	"Knox County, KY"	"21121"	15066.60	72318
	"Larue County, KY"	"21123"	15220.61	60265
	"Laurel County, KY"	"21125"	15116.29	72318
	"Lawrence County, KY"	"21127"	14927.13	84371
	"Lee County, KY"	"21129"	14988.50	36159
	"Leslie County, KY"	"21131"	14934.93	72318
	"Letcher County, KY"	"21133"	14952.21	72318
	"Lewis County, KY"	"21135"	14982.85	96424
	"Lincoln County, KY"	"21137"	15127.59	72318
	"Livingston County, KY"	"21139"	15714.27	72318
	"Logan County, KY"	"21141"	15555.34	132583
	"Lyon County, KY"	"21143"	15741.17	48212
	"McCracken County, KY"	"21145"	15737.91	36159
	"McCreary County, KY"	"21147"	15177.14	72318
	"McLean County, KY"	"21149"	15473.40	60265
	"Madison County, KY"	"21151"	15058.74	96424
	"Magoffin County, KY"	"21153"	14942.77	60265
	"Marion County, KY"	"21155"	15168.96	72318
	"Marshall County, KY"	"21157"	15833.50	60265
	"Martin County, KY"	"21159"	14784.79	48212
	"Mason County, KY"	"21161"	14911.45	60265
	"Meade County, KY"	"21163"	15231.14	60265
	"Menifee County, KY"	"21165"	14965.21	24106
	"Mercer County, KY"	"21167"	15098.29	36159
	"Metcalfe County, KY"	"21169"	15366.67	48212
	"Monroe County, KY"	"21171"	15481.10	72318
	"Montgomery County, KY"	"21173"	14958.51	36159
	"Morgan County, KY"	"21175"	14976.63	72318
	"Muhlenberg County, KY"	"21177"	15502.45	96424
	"Nelson County, KY"	"21179"	15169.95	96424
	"Nicholas County, KY"	"21181"	15021.44	36159
	"Ohio County, KY"	"21183"	15417.09	108477
	"Oldham County, KY"	"21185"	15064.96	36159
	"Owen County, KY"	"21187"	15087.42	60265
	"Owsley County, KY"	"21189"	15011.59	48212
	"Pendleton County, KY"	"21191"	15028.64	48212
	"Perry County, KY"	"21193"	14975.24	60265
	"Pike County, KY"	"21195"	14874.59	156689
	"Powell County, KY"	"21197"	14992.36	36159
	"Pulaski County, KY"	"21199"	15198.30	120530
	"Robertson County, KY"	"21201"	15021.29	12053
	"Rockcastle County, KY"	"21203"	15084.93	84371
	"Rowan County, KY"	"21205"	14995.68	60265
	"Russell County, KY"	"21207"	15275.29	48212
	"Scott County, KY"	"21209"	15053.08	60265
	"Shelby County, KY"	"21211"	15094.11	72318
	"Simpson County, KY"	"21213"	15596.95	72318
	"Spencer County, KY"	"21215"	15137.26	36159
	"Taylor County, KY"	"21217"	15188.43	84371
	"Todd County, KY"	"21219"	15558.78	72318
	"Trigg County, KY"	"21221"	15665.97	132583
	"Trimble County, KY"	"21223"	15112.96	36159
	"Union County, KY"	"21225"	15548.21	60265
	"Warren County, KY"	"21227"	15542.17	96424
	"Washington County, KY"	"21229"	15110.81	72318
	"Wayne County, KY"	"21231"	15269.95	96424
	"Webster County, KY"	"21233"	15515.96	84371
	"Whitley County, KY"	"21235"	15148.12	108477
	"Wolfe County, KY"	"21237"	14964.80	60265
	"Woodford County, KY"	"21239"	15044.53	36159
	"Acadia Parish, LA"	"22001"	17400.78	132583
	"Allen Parish, LA"	"22003"	17417.98	120530
	"Ascension Parish, LA"	"22005"	17425.57	60265
	"Assumption Parish, LA"	"22007"	17345.58	84371
	"Avoyelles Parish, LA"	"22009"	17472.67	180795
	"Beauregard Parish, LA"	"22011"	17333.09	229007
	"Bienville Parish, LA"	"22013"	17122.25	180795
	"Bossier Parish, LA"	"22015"	17071.26	144636
	"Caddo Parish, LA"	"22017"	17081.60	168742
	"Calcasieu Parish, LA"	"22019"	17554.51	229007
	"Caldwell Parish, LA"	"22021"	17304.51	96424
	"Cameron Parish, LA"	"22023"	19607.40	253113
	"Catahoula Parish, LA"	"22025"	17405.71	108477
	"Claiborne Parish, LA"	"22027"	17009.86	120530
	"Concordia Parish, LA"	"22029"	17411.48	168742
	"De Soto Parish, LA"	"22031"	17161.78	168742
	"East Baton Rouge Parish, LA"	"22033"	17312.93	84371
	"East Carroll Parish, LA"	"22035"	17234.29	84371
	"East Feliciana Parish, LA"	"22037"	17279.06	72318
	"Evangeline Parish, LA"	"22039"	17432.29	144636
	"Franklin Parish, LA"	"22041"	17293.74	132583
	"Grant Parish, LA"	"22043"	17254.38	144636
	"Iberia Parish, LA"	"22045"	17749.25	120530
	"Iberville Parish, LA"	"22047"	17401.37	132583
	"Jackson Parish, LA"	"22049"	17202.10	132583
	"Jefferson Parish, LA"	"22051"	17945.98	48212
	"Jefferson Davis Parish, LA"	"22053"	17471.64	156689
	"Lafayette Parish, LA"	"22055"	17361.20	48212
	"Lafourche Parish, LA"	"22057"	18146.34	204901
	"LaSalle Parish, LA"	"22059"	17325.66	108477
